,Cluster Labels,venue_lat,venue_lng,distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Thai_restaurant,Waterfall
174,1,37.80038714317991,-122.40914575479546,1350,0,0,0,0,0,0,0,1,0
174,1,37.80038714317991,-122.40914575479546,1350,0,0,0,0,0,1,0,0,0
4,1,37.80017577512871,-122.40428237095915,1430,0,0,0,0,0,0,1,0,0
161,1,37.775681609581746,-122.41671708790727,1507,0,0,0,0,0,0,1,0,0
16,1,37.7950241332574,-122.39560822440582,1508,0,0,0,0,0,0,0,0,1
23,1,37.791246594951375,-122.42808063995858,1580,0,0,0,0,0,0,1,0,0
58,1,37.78377397892649,-122.39344630652968,1582,0,0,0,0,0,0,1,0,0
1,1,37.796621918043336,-122.395442269084,1616,0,0,0,0,0,0,1,0,0
33,1,37.802398123661035,-122.40583930386968,1622,0,0,0,0,0,0,1,0,0
175,1,37.78234640506517,-122.39258776252451,1709,0,0,0,0,0,1,0,0,0
175,1,37.78234640506517,-122.39258776252451,1709,0,0,1,0,0,0,0,0,0
175,1,37.78234640506517,-122.39258776252451,1709,0,0,0,1,0,0,0,0,0
175,1,37.78234640506517,-122.39258776252451,1709,0,0,0,0,0,0,0,1,0
175,1,37.78234640506517,-122.39258776252451,1709,1,0,0,0,0,0,0,0,0
175,1,37.78234640506517,-122.39258776252451,1709,0,1,0,0,0,0,0,0,0
29,1,37.802118215911136,-122.41902189526232,1711,0,0,0,0,0,0,1,0,0
150,1,37.80382372230624,-122.41322481588632,1744,1,0,0,0,0,0,0,0,0
150,1,37.80382372230624,-122.41322481588632,1744,0,0,0,0,0,0,0,1,0
150,1,37.80382372230624,-122.41322481588632,1744,0,0,1,0,0,0,0,0,0
150,1,37.80382372230624,-122.41322481588632,1744,0,1,0,0,0,0,0,0,0
150,1,37.80382372230624,-122.41322481588632,1744,0,0,0,1,0,0,0,0,0
150,1,37.80382372230624,-122.41322481588632,1744,0,0,0,0,0,1,0,0,0
162,1,37.80112244318658,-122.39857878039643,1771,0,0,0,0,0,0,1,0,0
47,1,37.79265952005808,-122.39097080519072,1785,0,0,0,0,0,0,1,0,0
28,1,37.79374887658869,-122.3910886143392,1812,0,0,0,0,0,0,1,0,0
44,1,37.79114136918512,-122.39018134976637,1815,0,0,0,0,0,0,1,0,0
142,1,37.77737244366497,-122.39514999003865,1817,0,0,0,1,0,0,0,0,0
142,1,37.77737244366497,-122.39514999003865,1817,0,0,0,0,0,0,0,1,0
142,1,37.77737244366497,-122.39514999003865,1817,0,0,0,0,0,1,0,0,0
142,1,37.77737244366497,-122.39514999003865,1817,0,1,0,0,0,0,0,0,0
142,1,37.77737244366497,-122.39514999003865,1817,1,0,0,0,0,0,0,0,0
142,1,37.77737244366497,-122.39514999003865,1817,0,0,1,0,0,0,0,0,0
155,1,37.80468840577923,-122.41296128912155,1837,1,0,0,0,0,0,0,0,0
155,1,37.80468840577923,-122.41296128912155,1837,0,0,0,1,0,0,0,0,0
155,1,37.80468840577923,-122.41296128912155,1837,0,0,0,0,0,1,0,0,0
155,1,37.80468840577923,-122.41296128912155,1837,0,0,0,0,0,0,0,1,0
155,1,37.80468840577923,-122.41296128912155,1837,0,1,0,0,0,0,0,0,0
155,1,37.80468840577923,-122.41296128912155,1837,0,0,1,0,0,0,0,0,0
34,1,37.79154065815569,-122.39001274108887,1838,0,0,0,0,0,0,1,0,0
31,1,37.80006187146774,-122.39442793827594,1926,0,0,0,0,0,0,1,0,0
103,1,37.80350744703899,-122.42164649034832,1956,0,0,0,0,0,0,1,0,0
76,1,37.78939347293482,-122.38823955602722,1962,0,0,0,0,0,0,1,0,0
154,1,37.78195322437456,-122.3895306315394,1975,0,1,0,0,0,0,0,0,0
154,1,37.78195322437456,-122.3895306315394,1975,0,0,1,0,0,0,0,0,0
154,1,37.78195322437456,-122.3895306315394,1975,0,0,0,0,0,0,0,1,0
154,1,37.78195322437456,-122.3895306315394,1975,1,0,0,0,0,0,0,0,0
154,1,37.78195322437456,-122.3895306315394,1975,0,0,0,1,0,0,0,0,0
154,1,37.78195322437456,-122.3895306315394,1975,0,0,0,0,0,1,0,0,0
169,1,37.78239522452592,-122.3892519486836,1981,1,0,0,0,0,0,0,0,0
169,1,37.78239522452592,-122.3892519486836,1981,0,0,0,1,0,0,0,0,0
169,1,37.78239522452592,-122.3892519486836,1981,0,0,0,0,0,1,0,0,0
169,1,37.78239522452592,-122.3892519486836,1981,0,0,0,0,0,0,0,1,0
169,1,37.78239522452592,-122.3892519486836,1981,0,1,0,0,0,0,0,0,0
169,1,37.78239522452592,-122.3892519486836,1981,0,0,1,0,0,0,0,0,0
62,1,37.78439626788962,-122.38780250919531,2043,0,0,0,0,0,0,1,0,0
97,1,37.771692,-122.397977,2152,0,0,1,0,0,0,0,0,0
97,1,37.771692,-122.397977,2152,0,0,0,0,0,0,0,1,0
97,1,37.771692,-122.397977,2152,0,1,0,0,0,0,0,0,0
97,1,37.771692,-122.397977,2152,0,0,0,1,0,0,0,0,0
97,1,37.771692,-122.397977,2152,0,0,0,0,0,1,0,0,0
97,1,37.771692,-122.397977,2152,1,0,0,0,0,0,0,0,0
3,1,37.79070705517322,-122.3861658090027,2157,0,0,0,0,0,0,1,0,0
