,Cluster Labels,venue_lat,venue_lng,distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Thai_restaurant,Waterfall
26,1,37.76844396383533,-122.47538575501751,6121,0,0,0,0,1,0,0,0,0
52,1,37.76844396383533,-122.47538575501751,6121,0,0,0,0,0,0,1,0,0
44,1,37.74839962027423,-122.4592161800663,6172,0,0,0,0,1,0,0,0,0
77,1,37.77063483611997,-122.47701639378465,6173,0,0,0,0,1,0,0,0,0
39,1,37.808200275900326,-122.4760656515639,6178,0,0,0,0,0,0,1,0,0
2,1,37.801898032470135,-122.47890126992444,6204,0,1,0,0,0,0,0,0,0
2,1,37.801898032470135,-122.47890126992444,6204,1,0,0,0,0,0,0,0,0
2,1,37.801898032470135,-122.47890126992444,6204,0,0,0,1,0,0,0,0,0
2,1,37.801898032470135,-122.47890126992444,6204,0,0,0,0,0,1,0,0,0
2,1,37.801898032470135,-122.47890126992444,6204,0,0,1,0,0,0,0,0,0
2,1,37.801898032470135,-122.47890126992444,6204,0,0,0,0,0,0,0,1,0
1,1,37.77139016410644,-122.47783437618061,6216,0,0,0,0,0,0,0,0,1
31,1,37.80001434735277,-122.47975409030914,6230,0,0,0,0,0,1,0,0,0
31,1,37.80001434735277,-122.47975409030914,6230,0,0,0,0,0,0,0,1,0
31,1,37.80001434735277,-122.47975409030914,6230,0,0,0,1,0,0,0,0,0
31,1,37.80001434735277,-122.47975409030914,6230,0,1,0,0,0,0,0,0,0
31,1,37.80001434735277,-122.47975409030914,6230,0,0,1,0,0,0,0,0,0
31,1,37.80001434735277,-122.47975409030914,6230,1,0,0,0,0,0,0,0,0
122,1,37.79640456848644,-122.48070872916443,6241,0,1,0,0,0,0,0,0,0
122,1,37.79640456848644,-122.48070872916443,6241,0,0,0,0,0,1,0,0,0
122,1,37.79640456848644,-122.48070872916443,6241,1,0,0,0,0,0,0,0,0
122,1,37.79640456848644,-122.48070872916443,6241,0,0,1,0,0,0,0,0,0
122,1,37.79640456848644,-122.48070872916443,6241,0,0,0,1,0,0,0,0,0
122,1,37.79640456848644,-122.48070872916443,6241,0,0,0,0,0,0,0,1,0
151,1,37.798351465987956,-122.48044203411625,6253,0,0,0,0,0,0,1,0,0
183,1,37.76109969748347,-122.47351009405432,6317,0,0,0,0,0,0,1,0,0
109,1,37.793707298361674,-122.48273171982697,6382,0,0,0,0,0,0,1,0,0
45,1,37.76559827606509,-122.47740332128038,6406,0,0,0,0,1,0,0,0,0
50,1,37.759606171811136,-122.47362792491913,6407,0,0,0,0,0,0,1,0,0
0,1,37.793355016553285,-122.48373985290527,6467,0,0,0,0,0,1,0,0,0
0,1,37.793355016553285,-122.48373985290527,6467,0,0,1,0,0,0,0,0,0
0,1,37.793355016553285,-122.48373985290527,6467,0,0,0,1,0,0,0,0,0
0,1,37.793355016553285,-122.48373985290527,6467,1,0,0,0,0,0,0,0,0
0,1,37.793355016553285,-122.48373985290527,6467,0,0,0,0,0,0,0,1,0
0,1,37.793355016553285,-122.48373985290527,6467,0,1,0,0,0,0,0,0,0
34,1,37.7706977768871,-122.48161017894743,6556,0,0,0,0,1,0,0,0,0
184,1,37.75423258059319,-122.47153848409651,6574,0,0,0,0,0,0,1,0,0
12,1,37.756222,-122.473625,6603,0,0,0,0,0,0,1,0,0
40,1,37.76973638665379,-122.48204941686708,6625,0,1,0,0,0,0,0,0,0
40,1,37.76973638665379,-122.48204941686708,6625,0,0,1,0,0,0,0,0,0
40,1,37.76973638665379,-122.48204941686708,6625,0,0,0,0,0,1,0,0,0
10,1,37.76973638665379,-122.48204941686708,6625,0,0,0,0,0,0,0,0,1
40,1,37.76973638665379,-122.48204941686708,6625,1,0,0,0,0,0,0,0,0
1,1,37.76973638665379,-122.48204941686708,6625,0,0,0,0,1,0,0,0,0
40,1,37.76973638665379,-122.48204941686708,6625,0,0,0,0,0,0,0,1,0
40,1,37.76973638665379,-122.48204941686708,6625,0,0,0,1,0,0,0,0,0
32,1,37.770759,-122.482512,6629,0,0,0,0,1,0,0,0,0
55,1,37.7503220430415,-122.4686528820759,6637,0,0,0,0,0,0,1,0,0
185,1,37.74145564817923,-122.45791464319146,6678,0,0,0,0,0,0,1,0,0
46,1,37.76684520609777,-122.48196343017594,6726,0,0,0,0,1,0,0,0,0
126,1,37.73834821373442,-122.45466802563172,6784,0,0,0,0,0,0,1,0,0
144,1,37.7488246658239,-122.47124344110489,6919,0,0,0,0,0,0,1,0,0
3,1,37.788089862931265,-122.49118566513062,7098,0,0,1,0,0,0,0,0,0
3,1,37.788089862931265,-122.49118566513062,7098,0,0,0,0,0,0,0,1,0
3,1,37.788089862931265,-122.49118566513062,7098,0,0,0,1,0,0,0,0,0
3,1,37.788089862931265,-122.49118566513062,7098,0,0,0,0,0,1,0,0,0
3,1,37.788089862931265,-122.49118566513062,7098,0,1,0,0,0,0,0,0,0
3,1,37.788089862931265,-122.49118566513062,7098,1,0,0,0,0,0,0,0,0
47,1,37.76646734690438,-122.48681627272792,7141,0,0,0,0,1,0,0,0,0
114,1,37.7758367,-122.4907133,7192,0,1,0,0,0,0,0,0,0
114,1,37.7758367,-122.4907133,7192,0,0,0,0,0,1,0,0,0
114,1,37.7758367,-122.4907133,7192,0,0,0,1,0,0,0,0,0
114,1,37.7758367,-122.4907133,7192,0,0,0,0,0,0,0,1,0
114,1,37.7758367,-122.4907133,7192,1,0,0,0,0,0,0,0,0
114,1,37.7758367,-122.4907133,7192,0,0,1,0,0,0,0,0,0
48,1,37.72434572226247,-122.42319189072175,7206,0,0,0,0,1,0,0,0,0
49,1,37.767203602481075,-122.48937249183655,7326,0,0,0,0,1,0,0,0,0
14,1,37.786713525391306,-122.49481025151098,7419,0,0,0,0,0,0,1,0,0
23,1,37.72196964301879,-122.42253377247239,7459,0,0,0,0,1,0,0,0,0
102,1,37.83130755511133,-122.4769131668496,7552,0,0,0,0,0,0,1,0,0
50,1,37.770601638002034,-122.49410064001667,7614,0,0,0,0,1,0,0,0,0
174,1,37.83199596842217,-122.4778303729093,7663,0,0,0,0,0,0,1,0,0
80,1,37.720357064869596,-122.42572477791916,7681,0,0,0,0,0,0,1,0,0
51,1,37.8279832835221,-122.48217612504958,7697,0,0,0,0,0,0,1,0,0
