,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Waterfall
56,1,Chaat Corner,37.783474,-122.398815,1159,0,0,1,0,0,0,0,0
101,1,Mona Lisa Restaurant,37.79854126651147,-122.40767274554639,1166,0,0,0,1,0,0,0,0
43,1,Capo's,37.79864419203599,-122.40836235276521,1166,0,0,0,1,0,0,0,0
102,1,Cantina Verde,37.79228805337504,-122.39819250368542,1170,0,0,0,0,0,1,0,0
1,1,Cotogna,37.797345664268256,-122.40362430843288,1174,0,0,0,1,0,0,0,0
117,1,North Beach,37.79855296729771,-122.40731847728442,1175,1,0,0,0,0,0,0,0
35,1,Firenze by Night Ristorante,37.79898216183705,-122.4088862369583,1197,0,0,0,1,0,0,0,0
76,1,Caffé Greco,37.799034844291626,-122.4083890485705,1209,1,0,0,0,0,0,0,0
50,1,Pazzia Caffe & Trattoria,37.78326936780271,-122.39831963071339,1209,0,0,0,1,0,0,0,0
2,1,August 1 Five,37.78053745589946,-122.4201880772763,1213,0,0,1,0,0,0,0,0
44,1,Calzone's Pizza Cucina,37.799048,-122.408195,1213,0,0,0,1,0,0,0,0
100,1,Ristorante Ideale,37.79898110801195,-122.40728764391321,1222,0,0,0,1,0,0,0,0
49,1,Stella Pastry and Cafe,37.799143,-122.408319,1222,0,0,0,1,0,0,0,0
145,1,Cavalli Cafe,37.799315339592624,-122.40886084771921,1234,0,0,0,1,0,0,0,0
47,1,Peter Macchiarini Steps,37.798813592765626,-122.4057012610922,1244,0,0,0,0,0,0,1,0
135,1,Chipotle Mexican Grill,37.7889155,-122.3960781,1270,0,0,0,0,0,1,0,0
18,1,Sotto Mare Oysteria and Seafood Restaurant,37.799624753044924,-122.40835693948438,1274,0,0,0,1,0,0,0,0
62,1,Sotto Mare Oysteria and Seafood Restaurant,37.799624753044924,-122.40835693948438,1274,1,0,0,0,0,0,0,0
274,1,North Beach Restaurant,37.7997019714241,-122.40909714883031,1275,0,0,0,1,0,0,0,0
15,1,Massawa Restaurant,37.79967230959877,-122.40802781367383,1284,0,1,0,0,0,0,0,0
15,1,Ananda Fuara,37.77769251469199,-122.41635331222618,1288,0,0,1,0,0,0,0,0
22,1,Baonecci Ristorante,37.79969698045158,-122.4077831292636,1291,0,0,0,1,0,0,0,0
51,1,Sodini's,37.7997396670777,-122.40767816311671,1297,0,0,0,1,0,0,0,0
74,1,Seven Hills,37.798175,-122.4187,1314,0,0,0,1,0,0,0,0
62,1,Il Pollaio,37.80012207102598,-122.40983681633708,1317,0,0,0,1,0,0,0,0
273,1,Trattoria Contadina,37.80007798490103,-122.41242184056667,1321,0,0,0,1,0,0,0,0
80,1,Nick's Crispy Tacos,37.7960952576771,-122.42192617265991,1327,0,0,0,0,0,1,0,0
17,1,Vallejo Street Steps,37.799172725859854,-122.40412419910872,1333,0,0,0,0,0,0,1,0
23,1,Frascati,37.798278956210886,-122.41897443410139,1337,0,0,0,1,0,0,0,0
264,1,Original Joe's,37.800345242220565,-122.40931025175796,1344,0,0,0,1,0,0,0,0
36,1,Mario's Bohemian Cigar Store Cafe,37.80039147558531,-122.40987625707314,1347,0,0,0,1,0,0,0,0
171,1,Tony’s Pizza Napoletana,37.80038714317991,-122.40914575479546,1350,1,0,0,0,0,0,0,0
21,1,Tony’s Pizza Napoletana,37.80038714317991,-122.40914575479546,1350,0,0,0,1,0,0,0,0
194,1,Cadillac Bar & Grill,37.77684936528771,-122.41555464971317,1350,0,0,0,0,0,1,0,0
104,1,Rocco's Cafe,37.776105537222264,-122.40853577944672,1368,0,0,0,1,0,0,0,0
72,1,Orale Orale Mexican Restaurant,37.794487,-122.396838,1385,0,0,0,0,0,1,0,0
53,1,Amarena,37.798003807051685,-122.42048005662232,1391,0,0,0,1,0,0,0,0
25,1,Don Pisto's,37.800647273904026,-122.40794639602059,1392,0,0,0,0,0,1,0,0
25,1,Momma’s Kitchen,37.776044,-122.414083,1400,0,1,0,0,0,0,0,0
5,1,Moya,37.77590033497213,-122.41425577416493,1419,0,1,0,0,0,0,0,0
4,1,Montgomery & Green,37.80017577512871,-122.40428237095915,1430,0,0,0,0,0,0,1,0
186,1,El Capitan Taqueria,37.775249,-122.410077,1453,0,0,0,0,0,1,0,0
1,1,Garaje,37.78174497823888,-122.396150865862,1458,0,0,0,0,0,1,0,0
192,1,Ruchis Restaurant,37.78163019309276,-122.39622985543353,1458,0,0,1,0,0,0,0,0
105,1,Piccolo Forno,37.801422983750044,-122.41191896537636,1466,0,0,0,1,0,0,0,0
116,1,Liguria Bakery,37.80145279035106,-122.40937529897172,1467,0,0,0,1,0,0,0,0
4,1,The Italian Homemade Company,37.80149747181165,-122.41179456578453,1473,0,0,0,1,0,0,0,0
81,1,Mestiza,37.77960168435144,-122.3978382606396,1475,0,0,0,0,0,1,0,0
228,1,La Briciola,37.78151648840107,-122.39598957385486,1483,0,0,0,1,0,0,0,0
16,1,Embarcadero Center Walkway,37.7950241332574,-122.39560822440582,1508,0,0,0,0,0,0,0,1
97,1,Mezcalito,37.798168097057925,-122.42228617129722,1510,0,0,0,0,0,1,0,0
101,1,El Norteño Taco Truck,37.775874798146866,-122.40286574778685,1537,0,0,0,0,0,1,0,0
23,1,Lafayette Park,37.791246594951375,-122.42808063995858,1580,0,0,0,0,0,0,1,0
57,1,The Clocktower Building,37.78377397892649,-122.39344630652968,1582,0,0,0,0,0,0,1,0
108,1,Rosa Mexicano,37.79323715729572,-122.3934736734981,1595,0,0,0,0,0,1,0,0
1,1,Embarcadero Public Promenade,37.796621918043336,-122.395442269084,1616,0,0,0,0,0,0,1,0
8,1,Cala,37.77606310699734,-122.42038628873841,1616,0,0,0,0,0,1,0,0
33,1,Coit Tower,37.802398123661035,-122.40583930386968,1622,0,0,0,0,0,0,1,0
126,1,Tacos Cala,37.775847,-122.420292,1632,0,0,0,0,0,1,0,0
114,1,Mexico au Parc,37.78214690472515,-122.39354427808826,1641,0,0,0,0,0,1,0,0
125,1,Americano Restaurant & Bar,37.793703533487566,-122.3928977891782,1661,0,0,0,1,0,0,0,0
6,1,Curry Leaf Restaurant,37.80318251864479,-122.41441273064468,1692,0,0,1,0,0,0,0,0
172,1,21st Amendment Brewery & Restaurant,37.78234640506517,-122.39258776252451,1709,1,0,0,0,0,0,0,0
29,1,Lombard Street,37.802118215911136,-122.41902189526232,1711,0,0,0,0,0,0,1,0
32,1,Papito Hayes,37.776712974906005,-122.42345869766629,1721,0,0,0,0,0,1,0,0
5,1,a Mano,37.776916945347146,-122.42385625239876,1728,0,0,0,1,0,0,0,0
148,1,Cafe Capriccio,37.80382372230624,-122.41322481588632,1744,1,0,0,0,0,0,0,0
8,1,ROOH,37.78130761598392,-122.3926918659228,1749,0,0,1,0,0,0,0,0
85,1,Don Ramon's Mexican Restaurant,37.77288193471178,-122.41507123010172,1762,0,0,0,0,0,1,0,0
46,1,Embarcadero St & Howard St,37.79265952005808,-122.39097080519072,1785,0,0,0,0,0,0,1,0
18,1,Primavera,37.79550267269564,-122.39226140817746,1793,0,0,0,0,0,1,0,0
91,1,The Italian Homemade Company,37.774375956940816,-122.42088669614189,1799,0,0,0,1,0,0,0,0
55,1,Fior D'Italia,37.80436147072804,-122.41344307205846,1806,0,0,0,1,0,0,0,0
156,1,Kennedy’s Curry,37.804123,-122.415233,1809,0,0,1,0,0,0,0,0
